Occurrence,Gamma,Tau
0.23520947485380600,-0.00013765883364638800,-0.3231453244072270
0.23742958618745100,-0.00011834937123257600,-0.39553384093718900
0.22528348350717800,-0.0001437664931662060,-0.18187102146394800
0.2408130567564890,-0.0001665748473857390,-0.3025028790349250
0.21787365911495600,-0.00012024545019606200,-0.16199409353700700
0.24162323248671200,-0.00012216605059427200,-0.28010428857641200
0.23069706230047900,-0.00011114658458522500,-0.34932354038098800
0.22210041482866800,-0.0001409596655886330,-0.37509700323454900
0.2145038639302680,-9.91961890270831E-05,-0.3083999171242920
0.22050515055122900,-8.90014114352351E-05,-0.1601439385386070
0.226644356587578,-0.00013936920940363100,-0.25193857993780100
0.22751410087505100,-0.00012207458097463500,-0.25185056604601100
0.22045626359870400,-0.00012451785811224400,-0.3074840054233490
0.21888632907775900,-0.0001358371052372260,-0.2935828246314280
0.22530073391422300,-0.00016866903147761300,-0.3254390815148170
0.23546035208800700,-0.00013267097199136900,-0.28949942875419700
0.21656654105243500,-9.80580423683355E-05,-0.2527995667894600
0.22402183455965800,-0.00018635984847978200,-0.34934119330839
0.2296341233823510,-0.00013025648107442100,-0.231490788912884
0.23165986251654000,-0.00012830989676099300,-0.3286667999983480
0.2126543972909670,-0.00014153525921833200,-0.21008066279422100
0.23461675436048300,-0.00013582250376181000,-0.27978469038126500
0.21857857320897700,-0.00015927096314730600,-0.2860456643808170
0.2131352679064940,-0.00011182789384995200,-0.21134537203904100
0.23077242712696300,-0.00015269744311494400,-0.32356075166954200
0.21809677895224200,-0.00019966308134274600,-0.36824704750388400
0.21744198728559300,-0.00010448793858763000,-0.36728174512682100
0.23140916047130200,-0.00020248216443143600,-0.26974994443811100
0.22786831637139800,-0.00013940224557850000,-0.261776797849758
0.21575574838581400,-0.00015102560783644800,-0.1974138363800740
0.22469030819299700,-0.00013109429259402000,-0.3139774812938320
0.23041670094517900,-0.0001280256230710130,-0.24940818994421300
0.2283106820651100,-0.0001846434256555240,-0.36087380893931000
0.2287093009761940,-0.00017878940241863800,-0.32021677683854400
0.23147472899331200,-0.0001227006074207820,-0.33475841194555800
0.22872887208795300,-0.00010932981074067800,-0.33691032928317800
0.23590823845595600,-0.0002105049552220260,-0.41530675398878900
