Index,Occurrence,Gamma,Tau
63,0.20136587007829654,-0.00024966431361373467,-0.43943921528559055
64,0.2209754531707897,-0.00021660043696448354,-0.44083119229447376
65,0.20999217099605366,-0.0002538161622622813,-0.42284199859636173
66,0.21130514438555537,-0.00024178988431427059,-0.37583408064367985
67,0.2122784079941819,-0.00028855334156276195,-0.42884695729436745
68,0.2011158862203593,-0.0002850669815722079,-0.46759950567191133
69,0.20686260961646535,-0.0002409893246206707,-0.37365508259252267
70,0.20427491594570768,-0.000256484784873969,-0.4637119388291487
71,0.21620019831103826,-0.00031534784113855237,-0.3879347913108565
72,0.21593447286903145,-0.00028583188715510264,-0.4934209425877318
73,0.21925952732628773,-0.0003161255215071289,-0.47127010160744526
74,0.21460670674304594,-0.0002289119773411802,-0.4239486406472443
75,0.21199931625747293,-0.00030451793485068636,-0.4156015816247985
76,0.19815747108000775,-0.0002657645186421167,-0.314576094946852
77,0.20866409484139636,-0.00023093032019712962,-0.5398139435205216
78,0.20414994085691274,-0.0002796017209861557,-0.5628780126503501
79,0.21206679515102783,-0.00025950050696663975,-0.3214096199552146
80,0.22209376494127586,-0.00020559872351402843,-0.35878233050037095
81,0.21128054027130155,-0.000248882507368696,-0.5470598873663732
82,0.21419702751210135,-0.0003068927301347134,-0.4241118655441888
83,0.21709068446665497,-0.00023335914521101258,-0.42628794453456187
84,0.20950406936869814,-0.000249377868832229,-0.3136063874330312
85,0.20673031297154076,-0.0003224586731855136,-0.4444034202737154
86,0.21963388977185438,-0.00022456491691431142,-0.3860781538443621
87,0.2109712636578528,-0.00024931644070257445,-0.38166654432278113
88,0.21642915702546978,-0.0002522874596792485,-0.45484408488616657
89,0.20879348733407077,-0.0002043917257986991,-0.2832770756632619
90,0.21077621495830717,-0.0002609347759370016,-0.3586372134470325
91,0.2114228321506687,-0.00025784699595887884,-0.42564342544352385
92,0.20889471667577508,-0.0002813848097897551,-0.42701898896362006
93,0.20583438221510614,-0.00024303129662632192,-0.34671944338257477
94,0.2029897607640313,-0.0002530282212684029,-0.37277447781942524
95,0.21464434608054928,-0.00027477319523763473,-0.4704272210529825
96,0.21200515475209963,-0.0002710302046466468,-0.39682440584977735
97,0.2170507595325697,-0.00025555123694091423,-0.2757933832065224
98,0.19849930772060853,-0.0002753589946783484,-0.4287625299052735
99,0.21131362510186014,-0.00032061965034243346,-0.37156420695737646
100,0.2188516024686416,-0.0002831690335917969,-0.4025864021660096
101,0.19765548221265905,-0.00027672965086864893,-0.3482508220407458
102,0.21723862085498052,-0.0002037669856772893,-0.3058596850757752
103,0.20782456045057973,-0.00026106647701351507,-0.44338468882319515
104,0.22344920950300817,-0.00023624062460945826,-0.37479469602623106
105,0.2042754534643894,-0.0002575155281835201,-0.42904467952322933
106,0.22558205034860207,-0.00023346959210063527,-0.2975263139632192
107,0.21270377205210772,-0.0003332334118284166,-0.43909285465703246
108,0.20118752264338197,-0.00027943097509715927,-0.47523105302650726
109,0.19707215647752946,-0.00021622370228320068,-0.32258018385062837
110,0.2011407649598813,-0.0002761483888643891,-0.4599623446330567
111,0.21786571046190578,-0.0002502408456315016,-0.2634060871927242
112,0.2198363685519445,-0.00027415394846547946,-0.42788524124853305
113,0.22265894945495185,-0.00027038772167058936,-0.3468125899585934
114,0.21348993696372487,-0.00024953425701423405,-0.41204652473342024
115,0.20911049619832517,-0.00034756000008037355,-0.3561910235935496
116,0.19927786069353587,-0.00026986199249635033,-0.3014969000373019
117,0.212946728769713,-0.0002193964426376334,-0.3540488079159386
118,0.20165014142299065,-0.0002589243289600007,-0.45127942339027705
119,0.2055567005556042,-0.0002675315797406576,-0.37175233357960485
120,0.21877821280172077,-0.00021672389104324008,-0.3497887998575944
121,0.2142212516806689,-0.00024133231041646947,-0.46117930938414253
122,0.21450044502863747,-0.0003147527323044606,-0.48126785576230235
123,0.20996143778593712,-0.0002719067335951086,-0.4663186022400541
124,0.2097662828587376,-0.00018496311007947918,-0.2916771569005013
125,0.20900264347728653,-0.00035220682795223106,-0.43361752253383007
126,0.2225668545295415,-0.00021401003886910048,-0.32531028172622944
127,0.21593326016828845,-0.00024591076164353037,-0.3229437327684786
128,0.2173017861423306,-0.00026304170444182176,-0.5176449626673629
129,0.19856553460049747,-0.0002208147852093271,-0.19484427158755369
130,0.20859416831226024,-0.0002823649447886204,-0.3802095970260506
131,0.21535395477390423,-0.00030274410502791245,-0.46769411562502483
132,0.20317687025330888,-0.0002921016415157959,-0.4386833124760819
133,0.21093326175016902,-0.0002606435731728288,-0.3909672955639563
134,0.2027053625827807,-0.000247950900935084,-0.38885753935187545
135,0.21449333008090193,-0.0002778575459776078,-0.38327359606828604
136,0.21324453046231578,-0.0002585724426972605,-0.4218313300693836
137,0.2154697145031168,-0.00027578247019697936,-0.3066317314722863
138,0.19984995968289776,-0.0002578726756107613,-0.36878028489760056
139,0.2204476086092717,-0.0002851727411253332,-0.44594424070487243
140,0.20720480039033962,-0.0002752052800612194,-0.4275220593529592
141,0.20771053172203124,-0.00025423236965255874,-0.43912584737772625
142,0.21661112340991162,-0.0002176051519880027,-0.3203511385024861
143,0.20491218273525513,-0.00031829506371530795,-0.44627311687113724
144,0.2242761008228703,-0.00026887707279961697,-0.4214325441050465
145,0.21436805866927616,-0.00024404236526632725,-0.403973092095169
146,0.2185117746260143,-0.00025335997740687336,-0.35468879869262177
